orig_image,mask_image
images\OFT_control_06$000126&03_@002910.bmp,masks\OFT_control_06$000126&03_@002910.bmp
images\OFT_control_06$000126&03_@003257.bmp,masks\OFT_control_06$000126&03_@003257.bmp
images\OFT_control_06$000126&03_@003466.bmp,masks\OFT_control_06$000126&03_@003466.bmp
images\OFT_control_06$000126&03_@003641.bmp,masks\OFT_control_06$000126&03_@003641.bmp
images\OFT_control_06$000126&03_@003850.bmp,masks\OFT_control_06$000126&03_@003850.bmp
images\OFT_control_08$000141&03_@000031.bmp,masks\OFT_control_08$000141&03_@000031.bmp
images\OFT_control_08$000141&03_@000185.bmp,masks\OFT_control_08$000141&03_@000185.bmp
images\OFT_control_08$000141&03_@000333.bmp,masks\OFT_control_08$000141&03_@000333.bmp
images\OFT_control_08$000141&03_@000467.bmp,masks\OFT_control_08$000141&03_@000467.bmp
images\OFT_control_08$000141&03_@000638.bmp,masks\OFT_control_08$000141&03_@000638.bmp
images\OFT_control_08$000141&03_@000731.bmp,masks\OFT_control_08$000141&03_@000731.bmp
images\OFT_control_08$000141&03_@000920.bmp,masks\OFT_control_08$000141&03_@000920.bmp
images\OFT_control_08$000141&03_@001068.bmp,masks\OFT_control_08$000141&03_@001068.bmp
images\OFT_control_08$000141&03_@001212.bmp,masks\OFT_control_08$000141&03_@001212.bmp
images\OFT_control_08$000141&03_@001323.bmp,masks\OFT_control_08$000141&03_@001323.bmp
images\OFT_control_08$000141&03_@001476.bmp,masks\OFT_control_08$000141&03_@001476.bmp
images\OFT_control_08$000141&03_@001684.bmp,masks\OFT_control_08$000141&03_@001684.bmp
images\OFT_control_08$000141&03_@001800.bmp,masks\OFT_control_08$000141&03_@001800.bmp
images\OFT_control_08$000141&03_@002017.bmp,masks\OFT_control_08$000141&03_@002017.bmp
images\OFT_control_08$000141&03_@002179.bmp,masks\OFT_control_08$000141&03_@002179.bmp
images\OFT_control_08$000141&03_@002313.bmp,masks\OFT_control_08$000141&03_@002313.bmp
images\OFT_control_08$000141&03_@002614.bmp,masks\OFT_control_08$000141&03_@002614.bmp
images\OFT_control_08$000141&03_@002836.bmp,masks\OFT_control_08$000141&03_@002836.bmp
images\OFT_control_08$000141&03_@003031.bmp,masks\OFT_control_08$000141&03_@003031.bmp
images\OFT_control_08$000141&03_@003234.bmp,masks\OFT_control_08$000141&03_@003234.bmp
images\OFT_control_08$000141&03_@003387.bmp,masks\OFT_control_08$000141&03_@003387.bmp
images\OFT_control_08$000141&03_@003498.bmp,masks\OFT_control_08$000141&03_@003498.bmp
images\OFT_control_08$000141&03_@003697.bmp,masks\OFT_control_08$000141&03_@003697.bmp
images\OFT_control_08$000141&03_@003868.bmp,masks\OFT_control_08$000141&03_@003868.bmp
images\OFT_control_08$000141&03_@004331.bmp,masks\OFT_control_08$000141&03_@004331.bmp
images\OFT_rat01_intact$000090&03_@000030.bmp,masks\OFT_rat01_intact$000090&03_@000030.bmp
images\OFT_rat01_intact$000090&03_@000058.bmp,masks\OFT_rat01_intact$000090&03_@000058.bmp
images\OFT_rat01_intact$000090&03_@000074.bmp,masks\OFT_rat01_intact$000090&03_@000074.bmp
images\OFT_rat01_intact$000090&03_@000106.bmp,masks\OFT_rat01_intact$000090&03_@000106.bmp
images\OFT_rat01_intact$000090&03_@000155.bmp,masks\OFT_rat01_intact$000090&03_@000155.bmp
images\OFT_rat01_intact$000090&03_@000175.bmp,masks\OFT_rat01_intact$000090&03_@000175.bmp
images\OFT_rat01_intact$000090&03_@000180.bmp,masks\OFT_rat01_intact$000090&03_@000180.bmp
images\OFT_rat01_intact$000090&03_@000203.bmp,masks\OFT_rat01_intact$000090&03_@000203.bmp
images\OFT_rat01_intact$000090&03_@000254.bmp,masks\OFT_rat01_intact$000090&03_@000254.bmp
images\OFT_rat01_intact$000090&03_@000257.bmp,masks\OFT_rat01_intact$000090&03_@000257.bmp
images\OFT_rat01_intact$000090&03_@000397.bmp,masks\OFT_rat01_intact$000090&03_@000397.bmp
images\OFT_rat01_intact$000090&03_@000448.bmp,masks\OFT_rat01_intact$000090&03_@000448.bmp
images\OFT_rat01_intact$000090&03_@000916.bmp,masks\OFT_rat01_intact$000090&03_@000916.bmp
images\OFT_rat01_intact$000090&03_@000971.bmp,masks\OFT_rat01_intact$000090&03_@000971.bmp
images\OFT_rat01_intact$000090&03_@001013.bmp,masks\OFT_rat01_intact$000090&03_@001013.bmp
images\OFT_rat01_intact$000090&03_@001031.bmp,masks\OFT_rat01_intact$000090&03_@001031.bmp
images\OFT_rat01_intact$000090&03_@001105.bmp,masks\OFT_rat01_intact$000090&03_@001105.bmp
images\OFT_rat01_intact$000090&03_@001166.bmp,masks\OFT_rat01_intact$000090&03_@001166.bmp
images\OFT_rat01_intact$000090&03_@001226.bmp,masks\OFT_rat01_intact$000090&03_@001226.bmp
images\OFT_rat01_intact$000090&03_@001267.bmp,masks\OFT_rat01_intact$000090&03_@001267.bmp
images\OFT_rat01_intact$000090&03_@001392.bmp,masks\OFT_rat01_intact$000090&03_@001392.bmp
images\OFT_rat01_intact$000090&03_@001559.bmp,masks\OFT_rat01_intact$000090&03_@001559.bmp
images\OFT_rat01_intact$000090&03_@001615.bmp,masks\OFT_rat01_intact$000090&03_@001615.bmp
images\OFT_rat01_intact$000090&03_@001772.bmp,masks\OFT_rat01_intact$000090&03_@001772.bmp
images\OFT_rat01_intact$000090&03_@001883.bmp,masks\OFT_rat01_intact$000090&03_@001883.bmp
images\OFT_rat01_intact$000090&03_@001966.bmp,masks\OFT_rat01_intact$000090&03_@001966.bmp
images\OFT_rat01_intact$000090&03_@002050.bmp,masks\OFT_rat01_intact$000090&03_@002050.bmp
images\OFT_rat01_intact$000090&03_@002133.bmp,masks\OFT_rat01_intact$000090&03_@002133.bmp
images\OFT_rat01_intact@000185.bmp,masks\OFT_rat01_intact@000185.bmp
images\OFT_rat01_intact@000265.bmp,masks\OFT_rat01_intact@000265.bmp
images\OFT_rat01_intact@000370.bmp,masks\OFT_rat01_intact@000370.bmp
images\OFT_rat01_intact@000446.bmp,masks\OFT_rat01_intact@000446.bmp
images\OFT_rat01_intact@000561.bmp,masks\OFT_rat01_intact@000561.bmp
images\OFT_rat01_intact@000666.bmp,masks\OFT_rat01_intact@000666.bmp
images\OFT_rat01_intact@000782.bmp,masks\OFT_rat01_intact@000782.bmp
images\OFT_rat01_intact@000872.bmp,masks\OFT_rat01_intact@000872.bmp
images\OFT_rat01_intact@000887.bmp,masks\OFT_rat01_intact@000887.bmp
images\OFT_rat01_intact@000922.bmp,masks\OFT_rat01_intact@000922.bmp
images\OFT_rat01_intact@001087.bmp,masks\OFT_rat01_intact@001087.bmp
images\OFT_rat01_intact@001158.bmp,masks\OFT_rat01_intact@001158.bmp
images\OFT_rat01_intact@001178.bmp,masks\OFT_rat01_intact@001178.bmp
images\OFT_rat01_intact@001313.bmp,masks\OFT_rat01_intact@001313.bmp
images\OFT_rat01_intact@001323.bmp,masks\OFT_rat01_intact@001323.bmp
images\OFT_rat01_intact@001473.bmp,masks\OFT_rat01_intact@001473.bmp
images\OFT_rat01_intact@001504.bmp,masks\OFT_rat01_intact@001504.bmp
images\OFT_rat01_intact@001554.bmp,masks\OFT_rat01_intact@001554.bmp
images\OFT_rat01_intact@001564.bmp,masks\OFT_rat01_intact@001564.bmp
images\OFT_rat01_intact@001594.bmp,masks\OFT_rat01_intact@001594.bmp
images\OFT_rat01_intact@001604.bmp,masks\OFT_rat01_intact@001604.bmp
images\OFT_rat01_intact@001709.bmp,masks\OFT_rat01_intact@001709.bmp
images\OFT_rat01_intact@001945.bmp,masks\OFT_rat01_intact@001945.bmp
images\OFT_rat01_intact@002135.bmp,masks\OFT_rat01_intact@002135.bmp
images\OFT_rat01_intact@002271.bmp,masks\OFT_rat01_intact@002271.bmp
images\OFT_rat01_intact@002441.bmp,masks\OFT_rat01_intact@002441.bmp
images\OFT_rat01_intact@002627.bmp,masks\OFT_rat01_intact@002627.bmp
images\OFT_rat01_intact@002642.bmp,masks\OFT_rat01_intact@002642.bmp
images\OFT_rat01_intact@002772.bmp,masks\OFT_rat01_intact@002772.bmp
images\OFT_rat01_intact@003293.bmp,masks\OFT_rat01_intact@003293.bmp
images\OFT_rat01_intact@003374.bmp,masks\OFT_rat01_intact@003374.bmp
images\OFT_rat01_intact@003464.bmp,masks\OFT_rat01_intact@003464.bmp
images\OFT_rat01_intact@003519.bmp,masks\OFT_rat01_intact@003519.bmp
images\OFT_rat01_intact@003584.bmp,masks\OFT_rat01_intact@003584.bmp
images\OFT_rat01_intact@003805.bmp,masks\OFT_rat01_intact@003805.bmp
images\OFT_rat01_intact@003845.bmp,masks\OFT_rat01_intact@003845.bmp
images\OFT_rat01_intact@004015.bmp,masks\OFT_rat01_intact@004015.bmp
images\OFT_rat02_intact$000161&03_@000049.bmp,masks\OFT_rat02_intact$000161&03_@000049.bmp
images\OFT_rat02_intact$000161&03_@000076.bmp,masks\OFT_rat02_intact$000161&03_@000076.bmp
images\OFT_rat02_intact$000161&03_@000092.bmp,masks\OFT_rat02_intact$000161&03_@000092.bmp
images\OFT_rat02_intact$000161&03_@000129.bmp,masks\OFT_rat02_intact$000161&03_@000129.bmp
images\OFT_rat02_intact$000161&03_@000150.bmp,masks\OFT_rat02_intact$000161&03_@000150.bmp
images\OFT_rat02_intact$000161&03_@000177.bmp,masks\OFT_rat02_intact$000161&03_@000177.bmp
images\OFT_rat02_intact$000161&03_@000189.bmp,masks\OFT_rat02_intact$000161&03_@000189.bmp
images\OFT_rat02_intact$000161&03_@000222.bmp,masks\OFT_rat02_intact$000161&03_@000222.bmp
images\OFT_rat02_intact$000161&03_@000227.bmp,masks\OFT_rat02_intact$000161&03_@000227.bmp
images\OFT_rat02_intact$000161&03_@000235.bmp,masks\OFT_rat02_intact$000161&03_@000235.bmp
images\OFT_rat02_intact$000161&03_@000256.bmp,masks\OFT_rat02_intact$000161&03_@000256.bmp
images\OFT_rat02_intact$000161&03_@000261.bmp,masks\OFT_rat02_intact$000161&03_@000261.bmp
images\OFT_rat02_intact$000161&03_@000267.bmp,masks\OFT_rat02_intact$000161&03_@000267.bmp
images\OFT_rat02_intact$000161&03_@000305.bmp,masks\OFT_rat02_intact$000161&03_@000305.bmp
images\OFT_rat02_intact@000145.bmp,masks\OFT_rat02_intact@000145.bmp
images\OFT_rat02_intact@000205.bmp,masks\OFT_rat02_intact@000205.bmp
images\OFT_rat02_intact@000255.bmp,masks\OFT_rat02_intact@000255.bmp
images\OFT_rat02_intact@000320.bmp,masks\OFT_rat02_intact@000320.bmp
images\OFT_rat02_intact@000365.bmp,masks\OFT_rat02_intact@000365.bmp
images\OFT_rat02_intact@000506.bmp,masks\OFT_rat02_intact@000506.bmp
images\OFT_rat02_intact@000621.bmp,masks\OFT_rat02_intact@000621.bmp
images\OFT_rat02_intact@000696.bmp,masks\OFT_rat02_intact@000696.bmp
images\OFT_rat02_intact@000797.bmp,masks\OFT_rat02_intact@000797.bmp
images\OFT_rat02_intact@000867.bmp,masks\OFT_rat02_intact@000867.bmp
images\OFT_rat02_intact@000932.bmp,masks\OFT_rat02_intact@000932.bmp
images\OFT_rat02_intact@001072.bmp,masks\OFT_rat02_intact@001072.bmp
images\OFT_rat02_intact@001273.bmp,masks\OFT_rat02_intact@001273.bmp
images\OFT_rat02_intact@001333.bmp,masks\OFT_rat02_intact@001333.bmp
images\OFT_rat02_intact@001413.bmp,masks\OFT_rat02_intact@001413.bmp
images\OFT_rat02_intact@001579.bmp,masks\OFT_rat02_intact@001579.bmp
images\OFT_rat02_intact@001644.bmp,masks\OFT_rat02_intact@001644.bmp
images\OFT_rat02_intact@001739.bmp,masks\OFT_rat02_intact@001739.bmp
images\OFT_rat02_intact@001819.bmp,masks\OFT_rat02_intact@001819.bmp
images\OFT_rat02_intact@001900.bmp,masks\OFT_rat02_intact@001900.bmp
images\OFT_rat02_intact@001960.bmp,masks\OFT_rat02_intact@001960.bmp
images\OFT_rat02_intact@002145.bmp,masks\OFT_rat02_intact@002145.bmp
images\OFT_rat02_intact@002737.bmp,masks\OFT_rat02_intact@002737.bmp
images\OFT_rat02_intact@002937.bmp,masks\OFT_rat02_intact@002937.bmp
images\OFT_rat02_intact@003318.bmp,masks\OFT_rat02_intact@003318.bmp
images\OFT_rat03_intact$000010&03_@000044.bmp,masks\OFT_rat03_intact$000010&03_@000044.bmp
images\OFT_rat03_intact$000010&03_@000050.bmp,masks\OFT_rat03_intact$000010&03_@000050.bmp
images\OFT_rat03_intact$000010&03_@000055.bmp,masks\OFT_rat03_intact$000010&03_@000055.bmp
images\OFT_rat03_intact$000010&03_@000064.bmp,masks\OFT_rat03_intact$000010&03_@000064.bmp
images\OFT_rat03_intact$000010&03_@000078.bmp,masks\OFT_rat03_intact$000010&03_@000078.bmp
images\OFT_rat03_intact$000010&03_@000198.bmp,masks\OFT_rat03_intact$000010&03_@000198.bmp
images\OFT_rat03_intact$000010&03_@000243.bmp,masks\OFT_rat03_intact$000010&03_@000243.bmp
images\OFT_rat03_intact$000010&03_@000255.bmp,masks\OFT_rat03_intact$000010&03_@000255.bmp
images\OFT_rat03_intact$000010&03_@000259.bmp,masks\OFT_rat03_intact$000010&03_@000259.bmp
images\OFT_rat03_intact$000010&03_@000275.bmp,masks\OFT_rat03_intact$000010&03_@000275.bmp
images\OFT_rat03_intact$000010&03_@000290.bmp,masks\OFT_rat03_intact$000010&03_@000290.bmp
images\OFT_rat03_intact$000010&03_@000302.bmp,masks\OFT_rat03_intact$000010&03_@000302.bmp
images\OFT_rat03_intact$000010&03_@000324.bmp,masks\OFT_rat03_intact$000010&03_@000324.bmp
images\OFT_rat03_intact@000205.bmp,masks\OFT_rat03_intact@000205.bmp
images\OFT_rat03_intact@000370.bmp,masks\OFT_rat03_intact@000370.bmp
images\OFT_rat03_intact@000480.bmp,masks\OFT_rat03_intact@000480.bmp
images\OFT_rat03_intact@000595.bmp,masks\OFT_rat03_intact@000595.bmp
images\OFT_rat03_intact@000726.bmp,masks\OFT_rat03_intact@000726.bmp
images\OFT_rat03_intact@000836.bmp,masks\OFT_rat03_intact@000836.bmp
images\OFT_rat03_intact@000971.bmp,masks\OFT_rat03_intact@000971.bmp
images\OFT_rat03_intact@001081.bmp,masks\OFT_rat03_intact@001081.bmp
images\OFT_rat03_intact@001211.bmp,masks\OFT_rat03_intact@001211.bmp
images\OFT_rat03_intact@001341.bmp,masks\OFT_rat03_intact@001341.bmp
images\OFT_rat03_intact@001457.bmp,masks\OFT_rat03_intact@001457.bmp
images\OFT_rat03_intact@001702.bmp,masks\OFT_rat03_intact@001702.bmp
images\OFT_rat03_intact@001837.bmp,masks\OFT_rat03_intact@001837.bmp
images\OFT_rat03_intact@001942.bmp,masks\OFT_rat03_intact@001942.bmp
images\OFT_rat03_intact@002067.bmp,masks\OFT_rat03_intact@002067.bmp
images\OFT_rat03_intact@002188.bmp,masks\OFT_rat03_intact@002188.bmp
images\OFT_rat03_intact@002308.bmp,masks\OFT_rat03_intact@002308.bmp
images\OFT_rat03_intact@002438.bmp,masks\OFT_rat03_intact@002438.bmp
images\OFT_rat03_intact@002548.bmp,masks\OFT_rat03_intact@002548.bmp
images\OFT_rat03_intact@002668.bmp,masks\OFT_rat03_intact@002668.bmp
images\OFT_rat03_intact@002844.bmp,masks\OFT_rat03_intact@002844.bmp
images\OFT_rat03_intact@002934.bmp,masks\OFT_rat03_intact@002934.bmp
images\OFT_rat03_intact@003154.bmp,masks\OFT_rat03_intact@003154.bmp
images\OFT_rat03_intact@003274.bmp,masks\OFT_rat03_intact@003274.bmp
images\OFT_rat03_intact@003399.bmp,masks\OFT_rat03_intact@003399.bmp
images\OFT_rat03_intact@003530.bmp,masks\OFT_rat03_intact@003530.bmp
images\OFT_rat03_intact@003645.bmp,masks\OFT_rat03_intact@003645.bmp
images\OFT_rat03_intact@003885.bmp,masks\OFT_rat03_intact@003885.bmp
images\OFT_rat03_intact@004000.bmp,masks\OFT_rat03_intact@004000.bmp
images\OFT_rat03_intact@004140.bmp,masks\OFT_rat03_intact@004140.bmp
images\OFT_rat04_intact@000110.bmp,masks\OFT_rat04_intact@000110.bmp
images\OFT_rat04_intact@000240.bmp,masks\OFT_rat04_intact@000240.bmp
images\OFT_rat04_intact@000365.bmp,masks\OFT_rat04_intact@000365.bmp
images\OFT_rat04_intact@000486.bmp,masks\OFT_rat04_intact@000486.bmp
images\OFT_rat04_intact@000601.bmp,masks\OFT_rat04_intact@000601.bmp
images\OFT_rat04_intact@000721.bmp,masks\OFT_rat04_intact@000721.bmp
images\OFT_rat04_intact@000862.bmp,masks\OFT_rat04_intact@000862.bmp
images\OFT_rat04_intact@000972.bmp,masks\OFT_rat04_intact@000972.bmp
images\OFT_rat04_intact@001097.bmp,masks\OFT_rat04_intact@001097.bmp
images\OFT_rat04_intact@001213.bmp,masks\OFT_rat04_intact@001213.bmp
images\OFT_rat04_intact@001358.bmp,masks\OFT_rat04_intact@001358.bmp
images\OFT_rat04_intact@001463.bmp,masks\OFT_rat04_intact@001463.bmp
images\OFT_rat04_intact@001704.bmp,masks\OFT_rat04_intact@001704.bmp
images\OFT_rat04_intact@001809.bmp,masks\OFT_rat04_intact@001809.bmp
images\OFT_rat04_intact@001950.bmp,masks\OFT_rat04_intact@001950.bmp
images\OFT_rat04_intact@002060.bmp,masks\OFT_rat04_intact@002060.bmp
images\OFT_rat04_intact@002185.bmp,masks\OFT_rat04_intact@002185.bmp
images\OFT_rat04_intact@002336.bmp,masks\OFT_rat04_intact@002336.bmp
images\OFT_rat04_intact@002416.bmp,masks\OFT_rat04_intact@002416.bmp
images\OFT_rat04_intact@002536.bmp,masks\OFT_rat04_intact@002536.bmp
images\OFT_rat04_intact@002682.bmp,masks\OFT_rat04_intact@002682.bmp
images\OFT_rat04_intact@002797.bmp,masks\OFT_rat04_intact@002797.bmp
images\OFT_rat04_intact@002917.bmp,masks\OFT_rat04_intact@002917.bmp
images\OFT_rat04_intact@003043.bmp,masks\OFT_rat04_intact@003043.bmp
images\OFT_rat04_intact@003163.bmp,masks\OFT_rat04_intact@003163.bmp
images\OFT_rat05_intact@000090.bmp,masks\OFT_rat05_intact@000090.bmp
images\OFT_rat05_intact@000170.bmp,masks\OFT_rat05_intact@000170.bmp
images\OFT_rat05_intact@000250.bmp,masks\OFT_rat05_intact@000250.bmp
images\OFT_rat05_intact@000376.bmp,masks\OFT_rat05_intact@000376.bmp
images\OFT_rat05_intact@000486.bmp,masks\OFT_rat05_intact@000486.bmp
images\OFT_rat05_intact@000611.bmp,masks\OFT_rat05_intact@000611.bmp
images\OFT_rat05_intact@000721.bmp,masks\OFT_rat05_intact@000721.bmp
images\OFT_rat05_intact@000862.bmp,masks\OFT_rat05_intact@000862.bmp
images\OFT_rat05_intact@000957.bmp,masks\OFT_rat05_intact@000957.bmp
images\OFT_rat05_intact@001092.bmp,masks\OFT_rat05_intact@001092.bmp
images\OFT_rat05_intact@001228.bmp,masks\OFT_rat05_intact@001228.bmp
images\OFT_rat05_intact@001338.bmp,masks\OFT_rat05_intact@001338.bmp
images\OFT_rat05_intact@001453.bmp,masks\OFT_rat05_intact@001453.bmp
images\OFT_rat05_intact@001589.bmp,masks\OFT_rat05_intact@001589.bmp
images\OFT_rat05_intact@001709.bmp,masks\OFT_rat05_intact@001709.bmp
images\OFT_rat05_intact@001824.bmp,masks\OFT_rat05_intact@001824.bmp
images\OFT_rat05_intact@001935.bmp,masks\OFT_rat05_intact@001935.bmp
images\OFT_rat05_intact@002195.bmp,masks\OFT_rat05_intact@002195.bmp
images\OFT_rat05_intact@002441.bmp,masks\OFT_rat05_intact@002441.bmp
images\OFT_rat05_intact@002662.bmp,masks\OFT_rat05_intact@002662.bmp
images\OFT_rat05_intact@002742.bmp,masks\OFT_rat05_intact@002742.bmp
images\OFT_rat05_intact@002817.bmp,masks\OFT_rat05_intact@002817.bmp
images\OFT_rat05_intact@002932.bmp,masks\OFT_rat05_intact@002932.bmp
